kernel,cpu_time_total_us,self_cpu_time_total_us,cpu_time_avg_us,calls_cpu
MulBackward0,8592.93200000748,232.71200000494719,306.89042857169574,28
autograd::engine::evaluate_function: ReluBackward0,17817.93200000003,31.79399999976158,8908.966000000015,2
ReluBackward0,17786.13800000027,27.843000002205372,8893.069000000134,2
aten::threshold_backward,17758.294999998063,17758.294999998063,8879.147499999031,2
autograd::engine::evaluate_function: SelectBackward0,2149.9960000030696,28.506000008434057,1074.9980000015348,2
SelectBackward0,2121.4899999946356,14.632999993860722,1060.7449999973178,2
aten::select_backward,2106.857000000775,65.30499999597669,1053.4285000003874,2
aten::zeros,35330.66699999571,1610.3799999840558,4416.333374999464,8
autograd::engine::evaluate_function: SliceBackward0,2481.8869999982417,17.91099999845028,1240.9434999991208,2
SliceBackward0,2463.9759999997914,17.305999998003244,1231.9879999998957,2
aten::slice_backward,2446.670000001788,1537.7610000036657,1223.335000000894,2
autograd::engine::evaluate_function: NativeLayerNormBackward0,20702.22500000149,882.7750000059605,796.2394230769804,26
NativeLayerNormBackward0,19819.44999999553,407.12399999424815,762.2865384613665,26
aten::native_layer_norm_backward,19412.32600000128,18911.998000014573,746.6279230769724,26
autograd::engine::evaluate_function: AddBackward0,6080.695999994874,360.14800000935793,233.87292307672593,26
AddBackward0,63.42499999329448,63.42499999329448,2.439423076665172,26
autograd::engine::evaluate_function: ViewBackward0,13282.138000007719,1030.2660000026226,65.10851960788098,204
ViewBackward0,12251.872000005096,889.7049999795854,60.058196078456355,204
autograd::engine::evaluate_function: GeluBackward0,41798.73999999836,449.7180000022054,3483.2283333331966,12
GeluBackward0,41349.021999996156,267.2610000036657,3445.751833333013,12
aten::gelu_backward,41081.76099999249,41081.76099999249,3423.4800833327076,12
aten::add_,42612.83400000259,37770.06800005585,91.83800431035041,464
autograd::engine::evaluate_function: CloneBackward0,223.45800001174212,185.00700000673532,4.655375000244628,48
CloneBackward0,38.45100000500679,38.45100000500679,0.8010625001043081,48
autograd::engine::evaluate_function: TransposeBackward0,1090.815000001341,281.8009999990463,18.18025000002235,60
TransposeBackward0,809.0140000022948,187.346999976784,13.483566666704913,60
autograd::engine::evaluate_function: UnsafeViewBackward0,5356.257999990135,351.0489999651909,89.27096666650226,60
UnsafeViewBackward0,5005.2090000249445,303.28900004550815,83.42015000041575,60
autograd::engine::evaluate_function: BmmBackward0,56690.36200000346,457.81899999827147,2362.098416666811,24
BmmBackward0,56232.543000005186,595.749000005424,2343.022625000216,24
autograd::engine::evaluate_function: ExpandBackward0,250.46900000795722,198.081000007689,5.218104166832442,48
ExpandBackward0,52.38800000026822,52.38800000026822,1.0914166666722547,48
autograd::engine::evaluate_function: SafeSoftmaxBackward0,6824.56799999997,146.0890000090003,568.7139999999976,12
SafeSoftmaxBackward0,6678.47899999097,315.02099999040365,556.5399166659141,12
aten::_softmax_backward_data,6363.458000000566,6363.458000000566,530.2881666667139,12
autograd::engine::evaluate_function: MulBackward1,7820.595999993384,219.95599998906255,325.858166666391,24
MulBackward1,7600.640000004321,139.98600001260638,316.6933333335134,24
aten::_reshape_alias,77.375,77.375,6.447916666666667,12
autograd::engine::evaluate_function: EmbeddingBackward0,34288.042999997735,102.99199999496341,8572.010749999434,4
EmbeddingBackward0,34185.05100000277,37.034000005573034,8546.262750000693,4
aten::embedding_backward,34148.0169999972,25.98300000280142,8537.0042499993,4
aten::embedding_dense_backward,34122.0339999944,1139.7359999977052,8530.5084999986,4
Optimizer.step#Adam.step,1119198.7320000008,28962.526999983937,559599.3660000004,2
aten::lift_fresh,24.994000017642975,24.994000017642975,0.24032692324656707,104
aten::detach_,230.28000001609325,166.22300005704165,2.214230769385512,104
detach_,64.05699995905161,64.05699995905161,0.6159326919139578,104
aten::zeros_like,95639.99399999157,586.9990000165999,459.8076634614979,208
aten::lerp_,66470.47199999169,66470.47199999169,319.56957692303695,208
aten::mul_,29397.18699998036,27284.4849999696,141.3326298075979,208
aten::addcmul_,53505.403999999166,53505.403999999166,257.2375192307652,208
aten::sqrt,202693.70600000024,202693.70600000024,974.4889711538473,208
aten::div,78677.06499996409,76186.2289999649,378.25512019213505,208
aten::addcdiv_,533388.7340000048,533388.7340000048,2564.3689134615615,208
