kernel,cpu_time_total_us,self_cpu_time_total_us,cpu_time_avg_us,calls_cpu
aten::all,97712.3249999811,96627.44000010076,872.4314732141169,112
aten::fill_,362733.32799989334,362733.32799989334,405.74197762851605,894
aten::is_nonzero,147.2510000122711,55.55900002969429,9.203187500766944,16
aten::linear,57391791.88700012,42882.43500020588,47197.19727549352,1216
aten::t,70463.07899967162,32122.784999836236,23.178644407786717,3040
aten::transpose,57225.390999920666,39500.57200002158,13.053236998157086,4384
aten::addmm,26724664.44100009,26581645.756000485,43955.0401990133,608
aten::expand,8732.3529995922,7122.441999681527,8.802775201201815,992
aten::scaled_dot_product_attention,1312810.5760000707,10464.140000071377,13675.110166667402,96
aten::_scaled_dot_product_attention_math,1302346.4359999993,7793.048999981955,13566.108708333326,96
aten::matmul,510349.01299996953,6982.385000022594,2658.067776041508,192
aten::clone,369341.5280000516,8590.340999864042,480.9134479167339,768
aten::_unsafe_view,7238.907000053208,7238.907000053208,8.378364583394918,864
aten::bmm,619408.282999943,618895.2279996197,1075.3616024304565,576
aten::_safe_softmax,270285.39200004097,5604.558000012301,2815.4728333337603,96
aten::softmax,92397.86299996963,2571.0780000346713,962.477739583017,96
aten::_softmax,89826.78499993496,89826.78499993496,935.6956770826558,96
aten::isneginf,41469.020000007935,41469.020000007935,431.96895833341597,96
aten::where,41581.25500003807,41581.25500003807,433.13807291706325,96
aten::contiguous,16457.127999919467,409.0759998857975,171.42841666582777,96
aten::gelu,148504.0670000189,148504.0670000189,1546.9173645835301,96
aten::relu,643.4349999809638,269.46799998451024,40.214687498810235,16
aten::clamp_min,373.9669999964535,373.9669999964535,23.372937499778345,16
aten::cross_entropy_loss,4016.6790000116453,1798.9059999650344,251.04243750072783,16
aten::log_softmax,504.31200001668185,127.53200003039092,31.519500001042616,16
aten::_log_softmax,362.08500000089407,362.08500000089407,22.63031250005588,16
aten::nll_loss_nd,1713.461000029929,666.5430000312626,107.09131250187056,16
aten::nll_loss,1046.9179999986663,847.5769999921322,65.43237499991665,16
aten::nll_loss_forward,199.34100000653416,199.34100000653416,12.458812500408385,16
aten::ones_like,587.5229999814183,157.93699999246746,36.72018749883864,16
autograd::engine::evaluate_function: NllLossBackward0,4778.760999993421,134.86699998937547,298.6725624995888,16
NllLossBackward0,4643.894000004046,2193.3519999980927,290.24337500025285,16
aten::nll_loss_backward,2450.542000005953,2434.9900000030175,153.15887500037206,16
aten::zero_,359675.9719998883,1399.4479999598116,725.1531693546135,496
autograd::engine::evaluate_function: LogSoftmaxBackward0,2149.571000015363,84.65200001373887,134.3481875009602,16
LogSoftmaxBackward0,2064.919000001624,127.00199999287724,129.0574375001015,16
