kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls
Memcpy HtoD (Pageable -> Device),0,0,35.322999999974854,35.322999999974854,70
aten::index_put_,680.2239999999292,22.845000000088476,102.84800000017276,0.0,4
aten::_index_put_impl_,657.3789999998407,81.1630000002333,102.84800000017276,13.440000000002328,4
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<1> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<1> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<1> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<1> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1})",0,0,13.440000000002328,13.440000000002328,2
aten::masked_fill_,384.6539999998058,53.34399999980815,88.03200000000652,58.72000000003027,2
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1} const&)::{lambda(int)#1})",0,0,58.72000000003027,58.72000000003027,2
aten::argmax,1673.001999999804,1133.096999999485,1251.3619999999064,1251.3619999999064,52
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4> >(at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4>)",0,0,1251.3619999999064,1251.3619999999064,52
aten::resolve_conj,32.93600000004517,32.93600000004517,0,0,98
aten::resolve_neg,16.446000000229105,16.446000000229105,0,0,98
Memcpy DtoH (Device -> Pageable),0,0,119.03500000014901,119.03500000014901,98
aten::detach_,32.84300000028452,23.83900000032736,0,0,12
detach_,9.00399999995716,9.00399999995716,0,0,12
aten::zeros,13.107000000134576,9.905000000086147,0,0,2
aten::zero_,1.2559999999939464,1.2559999999939464,0,0,2
aten::lt,111.25300000002608,76.90200000000186,6.783999999985099,6.783999999985099,6
aten::any,5653.300000000163,4547.671000000148,818.5719999994035,795.8179999998538,110
aten::is_nonzero,493624.374,306.96800000214716,227.0710000001709,0.0,222
aten::ge,2691.286000000895,1672.3510000001988,131.12699999951292,129.55899999954272,114
aten::div,422.1840000007069,180.19900000141934,0,0,34
aten::sub,1058.5889999994542,682.5729999993928,73.76500000059605,73.76500000059605,54
aten::clamp,28.32600000005914,27.59200000000419,0,0,2
aten::cat,14484.689999997558,9616.003999998793,2320.419000001624,2187.046000001603,520
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_aligned16_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 3, 128, 1>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",0,0,267.5140000000829,267.5140000000829,2
