kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls,batch_size
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1} const&)::{lambda(int)#1})",0,0,125.37400000012713,125.37400000012713,2,32
aten::argmax,1706.1019999995478,1174.913999999466,1913.133000000089,1913.133000000089,52,32
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4> >(at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4>)",0,0,1913.133000000089,1913.133000000089,52,32
aten::resolve_conj,48.79700000042794,48.79700000042794,0,0,130,32
aten::resolve_neg,21.44299999944633,21.44299999944633,0,0,130,32
Memcpy DtoH (Device -> Pageable),0,0,163.54500000056578,163.54500000056578,130,32
aten::detach_,42.125,32.135000000183936,0,0,12,32
detach_,9.989999999816064,9.989999999816064,0,0,12,32
aten::zeros,14.132999999972526,10.981999999959953,0,0,2,32
aten::zero_,1.4810000000870787,1.4810000000870787,0,0,2,32
aten::lt,107.64300000004005,74.29899999988265,6.592000000178814,6.592000000178814,6,32
aten::any,5450.035000001546,4244.496000001964,897.4850000013248,873.4550000010058,110,32
aten::is_nonzero,292837.43299999874,593.3639999962179,345.69399999972666,0.0,338,32
aten::ge,4006.557000000088,2445.915000000561,184.02900000009686,182.46100000012666,178,32
aten::div,745.0420000009472,332.19600000121864,0,0,66,32
aten::sub,1066.73199999996,679.8959999990766,98.27300000021933,98.27300000021933,54,32
aten::clamp,33.39300000004005,32.465000000200234,0,0,2,32
aten::cat,15181.219999996829,9817.571999995504,3300.919999998645,3031.5189999986324,552,32
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_aligned16_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 3, 128, 1>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",0,0,539.9539999998524,539.9539999998524,2,32
