kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls,compile_applied
aten::embedding,3653.303000000131,515.9740000001038,540.8169999989041,0.0,52,True
aten::index_select,2924.561999999889,1144.8980000012089,540.8169999989041,534.6729999989329,52,True
aten::resize_,1369.9750000001513,1369.9750000001513,0,0,420,True
aten::arange,9222.553999998228,2316.3799999982584,736.0459999978775,368.02299999893876,304,True
aten::repeat,3659.2079999989946,823.682999999728,106.88199999957578,0.0,52,True
aten::expand,402.79099999929895,308.85099999880185,0,0,108,True
aten::alias,89.39099999962491,89.39099999962491,0,0,52,True
aten::unfold,498.6489999999467,382.72400000001653,0,0,104,True
aten::expand_as,258.4299999996729,79.87799999996787,0,0,52,True
aten::index,6767.414999999164,4463.38299999779,863.4339999994263,863.4339999994263,184,True
cudaDeviceGetAttribute,1550.1660000018892,1550.1660000018892,0,0,2015,True
cudaMemsetAsync,5934.972999996942,5934.972999996942,0,0,2440,True
cuLaunchKernel,15322.620000002353,15322.620000002353,0,0,1708,True
aten::select,4462.961999999039,3782.808999999601,0,0,800,True
aten::ones_like,194.85999999998603,19.437000000092667,10.879999999975553,0.0,4,True
aten::lift_fresh,7.929000000178348,7.929000000178348,0,0,22,True
cudaStreamSynchronize,251155.69699999876,251155.69699999876,0,0,504,True
"void at::native::(anonymous namespace)::indexSelectSmallIndex<float, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)",0,0,522.8969999989786,522.8969999989786,50,True
"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>::result_type*)",0,0,368.02299999893876,368.02299999893876,152,True
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1})",0,0,103.36199999955716,103.36199999955716,52,True
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1})",0,0,352.43899999948917,352.43899999948917,52,True
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",0,0,88.28599999993457,88.28599999993457,52,True
void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8>(cutlass_75_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8::Params),0,0,9679.462000000727,9679.462000000727,1400,True
void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8>(cutlass_75_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8::Params),0,0,1607.5359999995271,1607.5359999995271,248,True
"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, 4, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1>)",0,0,3382.8519999994896,3382.8519999994896,624,True
void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_tn_align1>(cutlass_75_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_tn_align1::Params),0,0,14705.431000000244,14705.431000000244,50,True
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",0,0,1289.2129999996687,1289.2129999996687,52,True
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<bool>, std::array<char*, 1ul> >(int, at::native::FillFunctor<bool>, std::array<char*, 1ul>)",0,0,272.95800000001327,272.95800000001327,204,True
Memcpy HtoD (Pageable -> Device),0,0,37.97899999920628,37.97899999920628,70,True
aten::index_put_,832.7099999998463,24.19199999983539,100.50900000007823,0.0,4,True
aten::_index_put_impl_,808.5180000000109,92.74099999997998,100.50900000007823,12.992000000027474,4,True
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<1> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<1> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<1> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<1> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1})",0,0,12.992000000027474,12.992000000027474,2,True
aten::masked_fill_,458.32300000003306,55.86800000007497,85.6930000000284,56.734000000025844,2,True
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1} const&)::{lambda(int)#1})",0,0,56.734000000025844,56.734000000025844,2,True
aten::argmax,1625.9970000000612,1107.8369999986608,1347.0380000003497,1347.0380000003497,52,True
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4> >(at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4>)",0,0,1347.0380000003497,1347.0380000003497,52,True
aten::resolve_conj,25.89600000012433,25.89600000012433,0,0,66,True
aten::resolve_neg,11.309999998949934,11.309999998949934,0,0,66,True
Memcpy DtoH (Device -> Pageable),0,0,88.06200000044191,88.06200000044191,66,True
aten::detach_,39.35300000011921,29.309000000008382,0,0,12,True
detach_,10.044000000110827,10.044000000110827,0,0,12,True
aten::zeros,13.865999999921769,10.823999999818625,0,0,2,True
aten::zero_,1.3010000000649597,1.3010000000649597,0,0,2,True
aten::lt,101.15900000021793,74.12000000025728,6.6890000000130385,6.6890000000130385,6,True
aten::any,5995.431999998691,4771.632999997761,898.5989999980084,877.2559999981313,110,True
aten::is_nonzero,155825.5769999999,349.4130000011355,249.17399999860208,0.0,222,True
aten::ge,2667.913000000728,1624.3940000009898,146.23200000071665,144.3760000008042,114,True
aten::div,448.8660000000091,193.25900000002002,0,0,34,True
aten::sub,1126.713000000629,719.1220000000321,82.5240000000922,82.5240000000922,54,True
aten::clamp,36.780999999988126,35.84299999996438,0,0,2,True
aten::cat,14039.239999997866,9180.835999998555,2414.2299999974202,2281.7219999974186,520,True
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_aligned16_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 3, 128, 1>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",0,0,267.44800000006217,267.44800000006217,2,True
